show,contestant_name,season,season_week,occupation,age,height,winner,elim_week,elim_type,first_impression,date_size,rose_type,,,
Bachelorette,ADAM G,13,13-1,,,,0,7,ED,0,0,C,,,
Bachelorette,ADAM G,13,13-2,,,,0,7,ED,0,10,C,,,
Bachelorette,ADAM G,13,13-3,,,,0,7,ED,0,8,C,,,
Bachelorette,ADAM G,13,13-4,,,,0,7,ED,0,13,C,,,
Bachelorette,ADAM G,13,13-5,,,,0,7,ED,0,9,C,,,
Bachelorette,ADAM G,13,13-6,,,,0,7,ED,0,7,C,,,
Bachelorette,ADAM G,13,13-7,,,,0,7,ED,0,3,E,,,
Bachelorette,ALEX B,13,13-1,,,,0,6,E,0,0,C,,,
Bachelorette,ALEX B,13,13-2,,,,0,6,E,0,10,C,,,
Bachelorette,ALEX B,13,13-3,,,,0,6,E,0,6,G,,,
Bachelorette,ALEX B,13,13-4,,,,0,6,E,0,13,C,,,
Bachelorette,ALEX B,13,13-5,,,,0,6,E,0,9,C,,,
Bachelorette,ALEX B,13,13-6,,,,0,6,E,0,7,E,,,
Bachelorette,ANTHONY B,13,13-1,,,,0,5,E,0,0,C,,,
Bachelorette,ANTHONY B,13,13-2,,,,0,5,E,0,0,C,,,
Bachelorette,ANTHONY B,13,13-3,,,,0,5,E,0,1,O,,,
Bachelorette,ANTHONY B,13,13-4,,,,0,5,E,0,13,C,,,
Bachelorette,ANTHONY B,13,13-5,,,,0,5,E,0,9,E,,,
Bachelorette,BLAKE E,13,13-1,,,,0,2,E,0,0,C,,,
Bachelorette,BLAKE E,13,13-2,,,,0,2,E,0,8,E,,,
Bachelorette,BLAKE K,13,13-1,,,,0,1,E,0,0,E,,,
Bachelorette,BRADY E,13,13-1,,,,0,3,E,0,0,C,,,
Bachelorette,BRADY E,13,13-2,,,,0,3,E,0,0,C,,,
Bachelorette,BRADY E,13,13-3,,,,0,3,E,0,8,E,,,
Bachelorette,BRYAN A,13,13-1,,,,1,N/A,W,1,0,FI,,,
Bachelorette,BRYAN A,13,13-2,,,,1,N/A,W,1,0,C,,,
Bachelorette,BRYAN A,13,13-3,,,,1,N/A,W,1,6,C,,,
Bachelorette,BRYAN A,13,13-4,,,,1,N/A,W,1,13,G,,,
Bachelorette,BRYAN A,13,13-5,,,,1,N/A,W,1,1,O,,,
Bachelorette,BRYAN A,13,13-6,,,,1,N/A,W,1,7,C,,,
Bachelorette,BRYAN A,13,13-7,,,,1,N/A,W,1,1,O,,,
Bachelorette,BRYAN A,13,13-8,,,,1,N/A,W,1,1,O,,,
Bachelorette,BRYAN A,13,13-9,,,,1,N/A,W,1,1,O,,,
Bachelorette,BRYAN A,13,13-10,,,,1,N/A,W,1,1,W,,,
Bachelorette,BRYCE P,13,13-1,,,,0,3,E,0,0,C,,,
Bachelorette,BRYCE P,13,13-2,,,,0,3,E,0,0,C,,,
Bachelorette,BRYCE P,13,13-3,,,,0,3,E,0,8,E,,,
Bachelorette,DEAN U,13,13-1,,,,0,8,E,0,0,C,,,
Bachelorette,DEAN U,13,13-2,,,,0,8,E,0,8,G,,,
Bachelorette,DEAN U,13,13-3,,,,0,8,E,0,8,C,,,
Bachelorette,DEAN U,13,13-4,,,,0,8,E,0,1,O,,,
Bachelorette,DEAN U,13,13-5,,,,0,8,E,0,9,C,,,
Bachelorette,DEAN U,13,13-6,,,,0,8,E,0,7,C,,,
Bachelorette,DEAN U,13,13-7,,,,0,8,E,0,1,O,,,
Bachelorette,DEAN U,13,13-8,,,,0,8,E,0,1,E,,,
Bachelorette,DEMARIO J,13,13-1,,,,0,,EU,0,0,C,,,
Bachelorette,DEMARIO J,13,13-2,,,,0,,EU,0,0,E,,,
Bachelorette,GRANT H,13,13-1,,,,0,1,E,0,0,E,,,
Bachelorette,JEDIDIAH B,13,13-1,,,,0,1,E,0,0,E,,,
Bachelorette,KYLE S,13,13-1,,,,0,1,E,0,0,E,,,
Bachelorette,MICHAEL B,13,13-1,,,,0,1,E,0,0,E,,,
Bachelorette,MILTON L,13,13-1,,,,0,1,E,0,0,E,,,
Bachelorette,MOHIT S,13,13-1,,,,0,1,E,0,0,E,,,
Bachelorette,ROB H,13,13-1,,,,0,1,E,0,0,E,,,
Bachelorette,PETER K,13,13-1,,,,0,10,E,0,0,C,,,
Bachelorette,PETER K,13,13-2,,,,0,10,E,0,1,O,,,
Bachelorette,PETER K,13,13-3,,,,0,10,E,0,6,C,,,
Bachelorette,PETER K,13,13-4,,,,0,10,E,0,13,C,,,
Bachelorette,PETER K,13,13-5,,,,0,10,E,0,9,C,,,
Bachelorette,PETER K,13,13-6,,,,0,10,E,0,7,G,,,
Bachelorette,PETER K,13,13-7,,,,0,10,E,0,1,O,,,
Bachelorette,PETER K,13,13-8,,,,0,10,E,0,1,C,,,
Bachelorette,PETER K,13,13-9,,,,0,10,E,0,1,C,,,
Bachelorette,PETER K,13,13-10,,,,0,10,E,0,1,E,,,
Bachelorette,DIGGY M,13,13-1,,,,0,3,E,0,0,C,,,
Bachelorette,DIGGY M,13,13-2,,,,0,3,E,0,10,C,,,
Bachelorette,DIGGY M,13,13-3,,,,0,3,E,0,0,E,,,
Bachelorette,ERIC B,13,13-1,,,,0,9,E,0,0,C,,,
Bachelorette,ERIC B,13,13-2,,,,0,9,E,0,10,C,,,
Bachelorette,ERIC B,13,13-3,,,,0,9,E,0,8,G,,,
Bachelorette,ERIC B,13,13-4,,,,0,9,E,0,13,C,,,
Bachelorette,ERIC B,13,13-5,,,,0,9,E,0,9,C,,,
Bachelorette,ERIC B,13,13-6,,,,0,9,E,0,1,O,,,
Bachelorette,ERIC B,13,13-7,,,,0,9,E,0,3,G,,,
Bachelorette,ERIC B,13,13-8,,,,0,9,E,0,1,C,,,
Bachelorette,ERIC B,13,13-9,,,,0,9,E,0,1,E,,,
Bachelorette,FRED J,13,13-1,,,,0,3,ED,0,0,C,,,
Bachelorette,FRED J,13,13-2,,,,0,3,ED,0,8,C,,,
Bachelorette,FRED J,13,13-3,,,,0,3,ED,0,6,ED,,,
Bachelorette,IGGY R,13,13-1,,,,0,4,E,0,0,C,,,
Bachelorette,IGGY R,13,13-2,,,,0,4,E,0,8,C,,,
Bachelorette,IGGY R,13,13-3,,,,0,4,E,0,0,C,,,
Bachelorette,IGGY R,13,13-4,,,,0,4,E,0,13,E,,,
Bachelorette,JACK S,13,13-1,,,,0,4,ED,0,0,C,,,
Bachelorette,JACK S,13,13-2,,,,0,4,ED,0,8,C,,,
Bachelorette,JACK S,13,13-3,,,,0,4,ED,0,8,C,,,
Bachelorette,JACK S,13,13-4,,,,0,4,ED,0,1,ED,,,
Bachelorette,JAMEY K,13,13-1,,,,0,2,E,0,0,C,,,
Bachelorette,JAMEY K,13,13-2,,,,0,2,E,0,10,E,,,
Bachelorette,JONATHAN T,13,13-1,,,,0,4,E,0,0,C,,,
Bachelorette,JONATHAN T,13,13-2,,,,0,4,E,0,8,C,,,
Bachelorette,JONATHAN T,13,13-3,,,,0,4,E,0,6,C,,,
Bachelorette,JONATHAN T,13,13-4,,,,0,4,E,0,13,E,,,
Bachelorette,JOSIAH G,13,13-1,,,,0,5,E,0,0,C,,,
Bachelorette,JOSIAH G,13,13-2,,,,0,5,E,0,10,G,,,
Bachelorette,JOSIAH G,13,13-3,,,,0,5,E,0,0,C,,,
Bachelorette,JOSIAH G,13,13-4,,,,0,5,E,0,13,C,,,
Bachelorette,JOSIAH G,13,13-5,,,,0,5,E,0,9,E,,,
