show,season,name,winner,elim_week,fir
Bachelorette,13,BRYAN A,1,N/A,1
Bachelorette,13,PETER K,0,10,0
Bachelorette,13,ERIC B,0,9,0
Bachelorette,13,DEAN U,0,8,0
Bachelorette,13,ADAM G,0,7,0
Bachelorette,13,MATT M,0,7,0
Bachelorette,13,ALEX B,0,6,0
Bachelorette,13,WILL G,0,6,0
Bachelorette,13,KENNY L,0,6,0
Bachelorette,13,ANTHONY B,0,5,0
Bachelorette,13,JOSIAH G,0,5,0
Bachelorette,13,LEE G,0,5,0
Bachelorette,13,IGGY R,0,4,0
Bachelorette,13,JONATHAN T,0,4,0
Bachelorette,13,JACK S,0,4,0
Bachelorette,13,BRADY E,0,3,0
Bachelorette,13,BRYCE P,0,3,0
Bachelorette,13,DIGGY M,0,3,0
Bachelorette,13,FRED J,0,3,0
Bachelorette,13,BLAKE E,0,2,0
Bachelorette,13,JAMEY K,0,2,0
Bachelorette,13,LUCAS Y,0,2,0
Bachelorette,13,DEMARIO J,0,2,0
Bachelorette,13,BLAKE K,0,1,0
Bachelorette,13,GRANT H,0,1,0
Bachelorette,13,JEDIDIAH B,0,1,0
Bachelorette,13,KYLE S,0,1,0
Bachelorette,13,MICHAEL B,0,1,0
Bachelorette,13,MILTON L,0,1,0
Bachelorette,13,MOHIT S,0,1,0
Bachelorette,13,ROB H,0,1,0
Bachelorette,12,JORDAN R,1,N/A,1
Bachelorette,12,ROBBY H,0,10,0
Bachelorette,12,CHASE M,0,9,0
Bachelorette,12,LUKE P,0,8,0
Bachelorette,12,JAMES T,0,7,0
Bachelorette,12,ALEX W,0,6,0
Bachelorette,12,DEREK P,0,6,0
Bachelorette,12,WELLS A,0,6,0
Bachelorette,12,VINCENT V,0,5,0
Bachelorette,12,GRANT K,0,5,0
Bachelorette,12,EVAN B,0,5,0
Bachelorette,12,JAMES F,0,4,0
Bachelorette,12,DANIEL M,0,4,0
Bachelorette,12,CHAD J,0,4,0
Bachelorette,12,NICK B,0,3,0
Bachelorette,12,CHRISTIAN B,0,3,0
Bachelorette,12,ALI Z,0,3,0
Bachelorette,12,WILL H,0,2,0
Bachelorette,12,JAMES S,0,2,0
Bachelorette,12,BRANDON H,0,2,0
Bachelorette,12,SAL D,0,1,0
Bachelorette,12,PETER M,0,1,0
Bachelorette,12,NICK S,0,1,0
Bachelorette,12,JONATHAN H,0,1,0
Bachelorette,12,JAKE P,0,1,0
Bachelorette,12,COLEY K,0,1,0
Bachelorette,11,SHAWN B,1,N/A,1
Bachelorette,11,NICK V,0,9,0
Bachelorette,11,BEN H,0,8,0
Bachelorette,11,JARED H,0,7,0
Bachelorette,11,JOE B,0,7,0
Bachelorette,11,CHRIS S,0,7,0
Bachelorette,11,BEN Z,0,6,0
Bachelorette,11,TANNER T,0,6,0
Bachelorette,11,JJ L,0,6,0
Bachelorette,11,JOSHUA A,0,5,0
Bachelorette,11,JUSTIN R,0,5,0
Bachelorette,11,IAN T,0,5,0
Bachelorette,11,COREY S,0,4,0
Bachelorette,11,JONATHAN H,0,1,0
Bachelorette,11,RYAN B,0,4,0
Bachelorette,11,CLINT A,0,3,0
Bachelorette,11,TONY H,0,3,0
Bachelorette,11,CORY S,0,2,0
Bachelorette,11,DANIEL F,0,2,0
Bachelorette,11,KUPAH J,0,2,0
Bachelorette,11,BRADLEY C,0,1,0
Bachelorette,11,DAVID X,0,1,0
Bachelorette,11,JOSH S,0,1,0
Bachelorette,11,SHAWN E,0,1,0
Bachelorette,11,BRADY T,0,1,0
Bachelorette,11,RYAN M,0,1,0
Bachelorette,10,JOSH M,1,N/A,0
Bachelorette,10,NICK V,0,9,0
Bachelorette,10,CHRIS S,0,7,0
Bachelorette,10,MARCUS G,0,8,0
Bachelorette,10,BRIAN O,0,7,0
Bachelorette,10,DYLAN P,0,7,0
Bachelorette,10,JJ O,0,6,0
Bachelorette,10,CODY S,0,6,0
Bachelorette,10,ANDREW P,0,5,0
Bachelorette,10,MARQUEL M,0,5,0
Bachelorette,10,PATRICK J,0,5,0
Bachelorette,10,TASOS H,0,4,0
Bachelorette,10,ERIC H,0,4,0
Bachelorette,10,BRADLEY W,0,3,0
Bachelorette,10,BRETT M,0,3,0
Bachelorette,10,RON W,0,3,0
Bachelorette,10,CARL K,0,2,0
Bachelorette,10,CRAIG M,0,2,0
Bachelorette,10,NICK S,0,1,0
Bachelorette,10,EMIL S,0,1,0
Bachelorette,10,JASON L,0,1,0
Bachelorette,10,JOSH B,0,1,0
Bachelorette,10,MIKE C,0,1,0
Bachelorette,10,RUDIE D,0,1,0
Bachelorette,10,STEVEN W,0,1,0
Bachelorette,9,CHRIS S,1,7,0
Bachelorette,9,DREW K,0,10,1
Bachelorette,9,BROOKS F,0,9,0
Bachelorette,9,ZAK W,0,8,1
Bachelorette,9,MICHAEL G,0,7,1
Bachelorette,9,JAMES C,0,6,0
Bachelorette,9,JUAN G,0,6,0
Bachelorette,9,KASEY S,0,6,0
Bachelorette,9,MIKEY T,0,5,0
Bachelorette,9,BEN S,0,5,0
Bachelorette,9,BRYDEN V,0,4,0
Bachelorette,9,ZACK K,0,4,0
Bachelorette,9,BRAD M,0,4,0
Bachelorette,9,BRANDON A,0,3,0
Bachelorette,9,DAN C,0,3,0
Bachelorette,9,BRIAN J,0,3,0
Bachelorette,9,NICK M,0,2,0
Bachelorette,9,ROBERT G,0,2,0
Bachelorette,9,WILL R,0,2,0
Bachelorette,9,DIOGO C,0,1,0
Bachelorette,9,LARRY B,0,1,0
Bachelorette,9,MICAH X,0,1,0
Bachelorette,9,MIKE X,0,1,0
Bachelorette,9,NICK R,0,1,0
Bachelorette,9,JONATHAN V,0,1,0
Bachelorette,8,JEF H,1,N/A,0
Bachelorette,8,ARIE L,0,10,0
Bachelorette,8,SEAN L,0,9,0
Bachelorette,8,CHRIS B,0,8,0
Bachelorette,8,JOHN W,0,7,0
Bachelorette,8,DOUG C,0,7,1
Bachelorette,8,RYAN B,0,4,0
Bachelorette,8,TRAVIS P,0,6,0
Bachelorette,8,ALEJANDRO V,0,5,0
Bachelorette,8,KALON M,0,5,0
Bachelorette,8,CHARLIE G,0,5,0
Bachelorette,8,MICHAEL N,0,4,0
Bachelorette,8,NATHAN B,0,4,0
Bachelorette,8,STEVIE A,0,3,0
Bachelorette,8,ALESSANDRO G,0,3,0
Bachelorette,8,TONY P,0,3,0
Bachelorette,8,AARON M,0,2,0
Bachelorette,8,KYLE D,0,2,0
Bachelorette,8,JOE G,0,2,0
Bachelorette,8,BRENT R,0,1,0
Bachelorette,8,DAVID H,0,1,0
Bachelorette,8,JACKSON L,0,1,0
Bachelorette,8,JEANPAUL L,0,1,0
Bachelorette,8,LERONE A,0,1,0
Bachelorette,8,RANDY W,0,1,0
Bachelorette,7,JP R,1,N/A,0
Bachelorette,7,BEN F,0,10,0
Bachelorette,7,CONSTANTINE T,0,9,0
Bachelorette,7,AMES B,0,8,0
Bachelorette,7,LUCAS D,0,7,0
Bachelorette,7,RYAN P,0,7,1
Bachelorette,7,BLAKE J,0,6,0
Bachelorette,7,RYAN M,0,1,0
Bachelorette,7,NICK P,0,5,0
Bachelorette,7,WILLIAM H,0,5,0
Bachelorette,7,BEN C,0,5,0
Bachelorette,7,WEST L,0,4,0
Bachelorette,7,CHRIS D,0,3,0
Bachelorette,7,JEFF M,0,3,0
Bachelorette,7,BENTLEY W,0,3,0
Bachelorette,7,MATT C,0,2,0
Bachelorette,7,RYAN M,0,1,0
Bachelorette,7,STEPHEN D,0,2,0
Bachelorette,7,ANTHONY S,0,1,0
Bachelorette,7,CHRIS M,0,1,0
Bachelorette,7,FRANK C,0,1,0
Bachelorette,7,JON E,0,1,0
Bachelorette,7,MICHAEL B,0,1,0
Bachelorette,7,ROB D,0,1,0
Bachelorette,7,TIM M,0,1,0
Bachelorette,6,ROBERT M,1,N/A,1
Bachelorette,6,CHRIS L,0,10,0
Bachelorette,6,FRANK N,0,9,0
Bachelorette,6,KIRK D,0,8,0
Bachelorette,6,TY B,0,7,0
Bachelorette,6,CRAIG R,0,6,0
Bachelorette,6,JUSTIN R,0,5,0
Bachelorette,6,CHRIS N,0,5,0
Bachelorette,6,KASEY K,0,5,0
Bachelorette,6,JESSE B,0,4,0
Bachelorette,6,JONATHAN N,0,4,0
Bachelorette,6,JOHN C,0,3,0
Bachelorette,6,STEVE K,0,3,0
Bachelorette,6,HUNTER W,0,3,0
Bachelorette,6,CHRIS H,0,2,0
Bachelorette,6,CRAIG M,0,2,0
Bachelorette,6,TYLER V,0,2,0
Bachelorette,6,DEREK X,0,1,0
Bachelorette,6,DERRICK S,0,1,0
Bachelorette,6,JASON W,0,1,0
Bachelorette,6,JAY R,0,1,0
Bachelorette,6,JOHN N,0,1,0
Bachelorette,6,KYLE H,0,1,0
Bachelorette,6,PHIL K,0,1,0
Bachelorette,6,TYLER M,0,1,0
Bachelorette,5,ED S,1,N/A,0
Bachelorette,5,KIPTYN L,0,10,0
Bachelorette,5,REID R,0,9,0
Bachelorette,5,WES H,0,8,0
Bachelorette,5,JESSE K,0,7,0
Bachelorette,5,MICHAEL S,0,7,0
Bachelorette,5,JAKE P,0,1,0
Bachelorette,5,TANNER P,0,6,0
Bachelorette,5,ROBBY D,0,6,0
Bachelorette,5,MARK H,0,5,0
Bachelorette,5,DAVID G,0,4,1
Bachelorette,5,JUAN B,0,4,0
Bachelorette,5,MIKE S,0,4,0
Bachelorette,5,BRAD S,0,3,0
Bachelorette,5,TANNER F,0,3,0
Bachelorette,5,SASHA P,0,3,0
Bachelorette,5,BRIAN D,0,2,0
Bachelorette,5,JULIEN H,0,2,0
Bachelorette,5,MATHUE J,0,2,0
Bachelorette,5,SIMON A,0,2,0
Bachelorette,5,ADAM D,0,1,0
Bachelorette,5,BRIAN V,0,1,0
Bachelorette,5,BRYCE H,0,1,0
Bachelorette,5,CALEB K,0,1,0
Bachelorette,5,GREG B,0,1,0
Bachelorette,5,JOHN H,0,1,0
Bachelorette,5,JOHN P,0,1,0
Bachelorette,5,JOSH Y,0,1,0
Bachelorette,5,KYLE Y,0,1,0
Bachelorette,5,STEPHEN R,0,1,0
Bachelorette,4,JESSE C,1,N/A,1
Bachelorette,4,JASON M,0,8,0
Bachelorette,4,JEREMY A,0,7,1
Bachelorette,4,GRAHAM B,0,6,0
Bachelorette,4,SEAN R,0,5,0
Bachelorette,4,BLAINE T,0,5,0
Bachelorette,4,BRIAN T,0,4,0
Bachelorette,4,FREDERICK G,0,4,0
Bachelorette,4,ROBERT F,0,4,0
Bachelorette,4,PAUL B,0,3,0
Bachelorette,4,RONALD M,0,3,0
Bachelorette,4,RICHARD M,0,3,1
Bachelorette,4,CHRISTOPHER B,0,2,0
Bachelorette,4,ERIC P,0,2,0
Bachelorette,4,RYAN H,0,2,0
Bachelorette,4,BRIAN W,0,1,0
Bachelorette,4,CHANDLER F,0,1,0
Bachelorette,4,DONATO C,0,1,0
Bachelorette,4,GREGORY M,0,1,0
Bachelorette,4,JEFFREY H,0,1,0
Bachelorette,4,JONATHAN K,0,1,0
Bachelorette,4,LUKE H,0,1,0
Bachelorette,4,PATRICK C,0,1,0
Bachelorette,4,PATRICK D,0,1,0
Bachelorette,4,SPERO S,0,1,0
Bachelorette,3,JERRY F,1,N/A,0
Bachelorette,3,JOHN PAUL M,0,7,0
Bachelorette,3,RYAN SH,0,6,0
Bachelorette,3,WENDELL J,0,5,0
Bachelorette,3,FABRICE L,0,4,0
Bachelorette,3,BEN S,0,4,0
Bachelorette,3,JOSH C,0,3,0
